#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2020-09-27, 11:17:41,  -07:00,       ,   37.5108528, -122.2510834,    13.1, 29.93,    12.2,  30.2,   0.00,   0.00,    0.00,   3.68,  -0.13,   0.01,   0.01,  48.3, 346.8,  28.1,  28.1,   0.9,   0.4,  23.76,  19.66,     2.76,  171.34,   55.18,  13.67, 1006.9,  242.07,  267.19,  274.33,  284.48,  268.21,  276.21, 1046.19, 1032.36, 1043.59, 1017.82, 1048.65, 1041.40,   -96.6,   0,  GPS,  252.3, 113.90, 113.90, 119.000, 125.900,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,   0.4,     3D, 3704,      ,       ,      ,       
2020-09-27, 11:17:41,  -07:00,       ,   37.5108490, -122.2510681,    13.1, 29.93,    13.5,  30.2,   0.00,   0.00,    0.00,   3.69,  -0.13,   0.00,  -0.00,  48.3, 346.8,  28.1,  28.1,   0.9,   0.4,  23.76,  19.66,     2.76,  171.34,   55.18,  13.67, 1006.9,  242.07,  267.22,  274.33,  284.48,  268.21,  276.25, 1046.19, 1032.36, 1043.59, 1017.80, 1048.65, 1041.40,   -95.4,   0,  GPS,  252.3, 113.90, 113.90, 119.000, 125.900,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,  -1.0,     3D, 3704,      ,       ,      ,       
2020-09-27, 11:17:42,  -07:00,       ,   37.5108490, -122.2510834,    12.1, 29.93,    12.4,  30.2,   0.00,   0.00,   -9.08,   3.69,  -0.12,  -0.01,   0.03,  48.3, 346.8,  28.1,  28.1,   0.8,   0.4,  23.75,  19.66,     2.79,  171.33,   55.23,  13.68, 1005.0,  242.30,  267.50,  274.54,  284.65,  268.42,  276.54, 1047.41, 1032.85, 1043.95, 1019.11, 1049.65, 1042.00,   -96.5,   0,  GPS,  252.3, 113.90, 113.90, 119.000, 125.900,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,  -0.8,     3D, 3704,      ,       ,      ,       
2020-09-27, 11:17:43,  -07:00,       ,   37.5108490, -122.2510834,    12.1, 29.93,    11.3,  30.2,   0.00,   0.00,  -15.65,   3.67,  -0.14,  -0.02,  -0.01,  48.3, 346.8,  28.1,  28.1,   0.8,   0.3,  23.79,  19.66,     2.77,  171.31,   55.13,  13.75, 1002.3,  242.59,  267.77,  274.69,  284.85,  268.63,  276.78, 1048.27, 1033.93, 1045.55, 1019.93, 1050.33, 1042.51,   -97.5,   0,  GPS,  252.3, 113.90, 113.90, 119.000, 125.900,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,  -0.9,     3D, 3704,      ,       ,      ,       
2020-09-27, 11:17:44,  -07:00,       ,   37.5108452, -122.2510681,    12.1, 29.93,    12.5,  30.2,   0.00,   0.00,  -15.99,   3.68,  -0.18,   0.01,  -0.02,  48.3, 346.8,  28.1,  28.1,   0.8,   0.3,  23.89,  19.67,     2.77,  171.30,   55.30,  13.68, 1005.8,  242.82,  268.03,  274.90,  285.03,  268.81,  277.02, 1048.41, 1034.00, 1048.95, 1021.05, 1051.12, 1041.98,   -96.4,   0,  GPS,  252.3, 113.90, 113.90, 119.000, 125.900,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,  -0.2,     3D, 3704,      ,       ,      ,       
2020-09-27, 11:17:45,  -07:00,       ,   37.5108452, -122.2510681,    12.1, 29.93,    11.5,  30.2,   0.00,   0.00,  -15.39,   3.71,  -0.19,   0.02,  -0.01,  48.3, 346.8,  28.1,  28.1,   0.8,   0.4,  23.94,  19.67,     2.82,  171.29,   55.23,  13.71, 1005.6,  243.05,  268.32,  275.09,  285.21,  269.00,  277.28, 1048.29, 1034.30, 1050.06, 1022.10, 1051.95, 1041.03,   -97.3,   0,  GPS,  252.3, 113.90, 113.90, 119.000, 125.900,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,  -0.3,     3D, 3704,      ,       ,      ,       
2020-09-27, 11:17:46,  -07:00,       ,   37.5108452, -122.2510834,    12.1, 29.93,    10.5,  30.2,   0.00,   0.00,   -1.15,   3.68,  -0.18,   0.01,   0.00,  48.3, 346.8,  28.1,  28.1,   0.8,   0.4,  23.96,  19.67,     2.78,  171.27,   55.22,  13.67, 1007.0,  243.30,  268.61,  275.27,  285.40,  269.21,  277.53, 1049.86, 1035.21, 1049.80, 1022.76, 1053.08, 1038.72,   -98.3,   0,  GPS,  252.3, 113.90, 113.90, 119.000, 125.900,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,  -0.9,     3D, 3704,      ,       ,      ,       
2020-09-27, 11:17:47,  -07:00,       ,   37.5108452, -122.2510834,    12.1, 29.93,     9.5,  30.2,   0.00,   0.00,   -0.04,   3.72,  -0.15,   0.01,   0.02,  48.3, 346.8,  28.1,  28.1,   0.8,   0.3,  23.89,  19.67,     2.79,  171.26,   55.27,  13.71, 1005.6,  243.57,  268.88,  275.47,  285.60,  269.43,  277.81, 1051.13, 1036.46, 1049.50, 1022.24, 1052.51, 1038.07,   -99.3,   0,  GPS,  252.3, 113.90, 113.90, 119.000, 125.900,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,  -1.3,     3D, 3704,      ,       ,      ,       
2020-09-27, 11:17:48,  -07:00,       ,   37.5108414, -122.2510834,    12.1, 29.93,     8.6,  30.2,   0.00,   0.00,    0.62,   3.68,  -0.16,  -0.00,  -0.02,  48.3, 346.8,  28.1,  28.1,   0.7,   0.3,  23.86,  19.55,     2.81,  171.24,   55.37,  13.73, 1006.9,  243.93,  269.27,  275.76,  285.89,  269.72,  278.17, 1050.85, 1037.40, 1049.66, 1022.65, 1051.47, 1038.90,  -100.2,   0,  GPS,  252.3, 113.90, 113.90, 119.000, 125.900,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,  -1.4,     3D, 3704,      ,       ,      ,       
2020-09-27, 11:17:49,  -07:00,       ,   37.5108414, -122.2510834,    12.1, 29.93,     7.8,  30.2,   0.00,   0.00,    0.03,   3.71,  -0.15,  -0.00,   0.00,  48.3, 346.8,  28.2,  28.1,   0.7,   0.3,  23.94,  19.40,     2.80,  171.23,   55.25,  13.72, 1003.5,  244.11,  269.49,  275.91,  286.00,  269.86,  278.37, 1051.27, 1037.65, 1050.08, 1023.41, 1051.46, 1041.23,  -101.1,   0,  GPS,  252.3, 113.90, 113.90, 119.000, 125.900,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,   0.3,     3D, 3704,      ,       ,      ,       
