#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2020-10-07, 16:55:52,  -07:00,       ,   38.5624199, -121.3041229,    83.2, 29.82,    75.7,  30.0,   0.00,   0.00,   -0.72,   1.02,   0.52,  -0.01,   0.01, 161.6, 346.7,  28.1,  28.1,   0.7,  -0.1,  31.40,  24.61,     2.49,  173.59,   54.96,  13.69, 1006.7,  307.78,  343.37,  341.68,  357.50,  322.64,  354.90, 1074.23, 1091.61, 1097.59, 1083.90, 1094.90, 1067.78,   -20.9,   0,  GPS,   11.3, 113.90, 113.90, 120.650, 118.325,       ,       ,       ,      ,       ,       ,   13.3,       ,      ,       ,      ,      ,   4.3,     3D, 3704,      ,       ,      ,       
2020-10-07, 16:55:52,  -07:00,       ,   38.5624199, -121.3041229,    83.2, 29.82,    75.7,  30.0,   0.00,   0.00,   -0.61,   1.02,   0.52,  -0.03,   0.01, 161.6, 346.7,  28.1,  28.1,   0.7,  -0.1,  31.40,  24.61,     2.52,  173.59,   54.98,  13.69, 1006.7,  307.80,  343.37,  341.68,  357.50,  322.64,  354.90, 1074.23, 1091.82, 1097.61, 1083.95, 1094.90, 1067.63,   -20.9,   0,  GPS,   11.3, 113.90, 113.90, 120.650, 118.325,       ,       ,       ,      ,       ,       ,   13.3,       ,      ,       ,      ,      ,   4.3,     3D, 3704,      ,       ,      ,       
2020-10-07, 16:55:53,  -07:00,       ,   38.5624237, -121.3041077,    84.2, 29.82,    81.2,  30.0,   0.00,   0.00,    5.93,   1.03,   0.53,   0.01,   0.01, 161.6, 346.7,  28.1,  28.1,   0.8,  -0.1,  31.31,  24.60,     2.53,  173.61,   54.93,  13.68, 1006.5,  307.85,  343.46,  341.71,  357.51,  322.67,  354.98, 1073.60, 1094.80, 1098.30, 1083.29, 1093.88, 1066.22,   -15.3,   0,  GPS,   11.3, 113.90, 113.90, 120.650, 118.325,       ,       ,       ,      ,       ,       ,   13.3,       ,      ,       ,      ,      ,   4.4,     3D, 3704,      ,       ,      ,       
2020-10-07, 16:55:54,  -07:00,       ,   38.5624275, -121.3040924,    84.2, 29.82,    85.2,  30.0,   0.00,   0.00,   14.30,   1.01,   0.52,   0.01,  -0.00, 161.7, 346.7,  28.1,  28.1,   0.8,  -0.1,  31.26,  24.60,     2.53,  173.63,   54.97,  13.68, 1005.4,  307.87,  343.48,  341.71,  357.51,  322.65,  355.03, 1074.46, 1096.06, 1100.39, 1080.04, 1092.99, 1065.57,   -11.4,   0,  GPS,   11.3, 113.90, 113.90, 120.650, 118.325,       ,       ,       ,      ,       ,       ,   13.3,       ,      ,       ,      ,      ,   2.8,     3D, 3704,      ,       ,      ,       
2020-10-07, 16:55:55,  -07:00,       ,   38.5624313, -121.3040924,    83.2, 29.82,    87.8,  30.0,   0.00,   0.00,    1.11,   0.94,   0.52,  -0.02,  -0.02, 161.8, 346.7,  28.1,  28.1,   0.8,  -0.1,  31.18,  24.60,     2.57,  173.65,   55.01,  13.67, 1008.8,  307.90,  343.52,  341.74,  357.60,  322.77,  355.06, 1075.64, 1096.97, 1102.22, 1081.61, 1092.13, 1065.04,    -8.8,   0,  GPS,   11.3, 113.90, 113.90, 120.650, 118.325,       ,       ,       ,      ,       ,       ,   13.3,       ,      ,       ,      ,      ,   1.5,     3D, 3704,      ,       ,      ,       
2020-10-07, 16:55:56,  -07:00,       ,   38.5624313, -121.3040924,    83.2, 29.82,    89.7,  30.0,   0.00,   0.00,  -10.66,   0.91,   0.49,  -0.01,  -0.01, 161.9, 346.7,  28.1,  28.1,   0.7,  -0.1,  31.13,  24.60,     2.52,  173.67,   54.95,  13.64, 1010.1,  307.97,  343.62,  341.95,  357.74,  322.81,  355.24, 1075.85, 1095.70, 1101.78, 1081.06, 1091.82, 1066.48,    -6.9,   0,  GPS,   11.3, 113.90, 113.90, 120.650, 118.325,       ,       ,       ,      ,       ,       ,   13.3,       ,      ,       ,      ,      ,   4.1,     3D, 3704,      ,       ,      ,       
2020-10-07, 16:55:57,  -07:00,       ,   38.5624313, -121.3040924,    83.2, 29.82,    90.6,  30.0,   0.00,   0.00,   -3.22,   0.91,   0.48,  -0.02,   0.01, 162.0, 346.7,  28.1,  28.1,   0.8,  -0.1,  31.10,  24.59,     2.55,  173.68,   54.89,  13.70, 1007.5,  307.88,  343.57,  341.85,  357.66,  322.78,  355.18, 1075.75, 1095.34, 1100.60, 1083.28, 1090.40, 1066.65,    -6.0,   0,  GPS,   11.3, 113.90, 113.90, 120.650, 118.325,       ,       ,       ,      ,       ,       ,   13.3,       ,      ,       ,      ,      ,   4.8,     3D, 3704,      ,       ,      ,       
2020-10-07, 16:55:58,  -07:00,       ,   38.5624237, -121.3040924,    83.2, 29.82,    87.5,  30.0,   0.00,   0.00,   -0.12,   0.91,   0.46,  -0.02,   0.03, 162.1, 346.7,  28.1,  28.1,   0.8,  -0.1,  31.07,  24.59,     2.54,  173.69,   54.89,  13.73, 1005.2,  307.89,  343.63,  341.85,  357.65,  322.78,  355.17, 1076.83, 1095.38, 1099.37, 1081.28, 1091.32, 1067.36,    -9.1,   0,  GPS,   11.3, 113.90, 113.90, 120.650, 118.325,       ,       ,       ,      ,       ,       ,   13.3,       ,      ,       ,      ,      ,   4.1,     3D, 3704,      ,       ,      ,       
2020-10-07, 16:55:59,  -07:00,       ,   38.5624237, -121.3040924,    84.2, 29.82,    87.3,  30.0,   0.00,   0.00,   -0.00,   0.87,   0.45,  -0.00,  -0.02, 162.1, 346.7,  28.1,  28.1,   0.7,  -0.1,  31.05,  24.58,     2.53,  173.71,   54.99,  13.68, 1008.5,  307.89,  343.63,  341.85,  357.69,  322.78,  355.25, 1077.03, 1093.78, 1097.42, 1081.20, 1091.87, 1067.60,    -9.3,   0,  GPS,   11.3, 113.90, 113.90, 120.650, 118.325,       ,       ,       ,      ,       ,       ,   13.3,       ,      ,       ,      ,      ,   3.7,     3D, 3704,      ,       ,      ,       
2020-10-07, 16:56:00,  -07:00,       ,   38.5624199, -121.3040924,    83.2, 29.82,    85.2,  30.0,   0.00,   0.00,    4.23,   0.87,   0.46,  -0.02,  -0.01, 162.1, 346.7,  28.1,  28.1,   0.7,  -0.1,  31.03,  24.58,     2.53,  173.73,   54.86,  13.72, 1005.6,  307.98,  343.66,  341.93,  357.77,  322.78,  355.29, 1076.38, 1088.74, 1094.76, 1083.88, 1091.80, 1067.28,   -11.4,   0,  GPS,   11.3, 113.90, 113.90, 120.650, 118.325,       ,       ,       ,      ,       ,       ,   13.3,       ,      ,       ,      ,      ,   3.6,     3D, 3704,      ,       ,      ,       
