#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2020-10-26, 17:49:54,  -06:00,       ,   34.4288788, -119.8344650,     5.0, 30.06,    -9.6,  19.2,   0.00,   0.00,   -1.73,   0.48,   0.41,  -0.00,   0.01, 180.5, 347.8,  28.1,  28.1,   3.9,   0.3,  35.00,  35.00,     3.12,  135.47,   59.40,  14.11, 1093.1,  149.46,  176.82,  173.63,  198.32,  160.33,  192.31, 1023.89, 1023.06,  999.00, 1026.36, 1009.00, 1005.44,  -126.8,   0,  GPS,  170.8, 117.70, 113.90, 121.700, 132.900,       ,       ,       ,      ,       ,       ,   12.2,       ,      ,       ,      ,      ,  -0.4,     3D, 3704,      ,       ,      ,       
2020-10-26, 17:49:54,  -06:00,       ,   34.4288788, -119.8344650,     5.0, 30.06,    -9.6,  19.2,   0.00,   0.00,   -1.26,   0.47,   0.38,  -0.01,  -0.02, 180.5, 347.8,  28.1,  28.1,   3.8,   0.4,  35.00,  35.00,     3.10,  135.47,   59.43,  14.11, 1094.0,  149.49,  176.84,  173.66,  198.35,  160.35,  192.35, 1024.07, 1023.51,  999.61, 1026.67, 1009.41, 1005.73,  -126.8,   0,  GPS,  170.8, 117.70, 113.90, 121.700, 132.900,       ,       ,       ,      ,       ,       ,   12.2,       ,      ,       ,      ,      ,  -0.4,     3D, 3704,      ,       ,      ,       
2020-10-26, 17:49:55,  -06:00,       ,   34.4288788, -119.8344650,     5.0, 30.06,    -9.7,  19.2,   0.00,   0.00,    1.78,   0.52,   0.38,  -0.02,   0.03, 180.5, 347.8,  28.1,  28.1,   3.8,   0.3,  35.00,  35.00,     3.11,  135.47,   59.44,  14.10, 1092.9,  149.94,  177.32,  174.05,  198.82,  160.84,  192.87, 1027.18, 1027.93, 1003.82, 1030.19, 1013.69, 1009.99,  -126.9,   0,  GPS,  170.8, 117.70, 113.90, 121.700, 132.900,       ,       ,       ,      ,       ,       ,   12.2,       ,      ,       ,      ,      ,  -1.7,     3D, 3704,      ,       ,      ,       
2020-10-26, 17:49:56,  -06:00,       ,   34.4288788, -119.8344650,     5.0, 30.06,    -9.7,  19.2,   0.00,   0.00,    0.10,   0.52,   0.40,  -0.01,  -0.02, 180.6, 347.8,  28.1,  28.1,   3.8,   0.3,  35.00,  35.00,     3.15,  135.46,   59.61,  14.13, 1092.9,  150.39,  177.71,  174.44,  199.21,  161.23,  193.30, 1031.17, 1031.38, 1007.89, 1035.01, 1018.32, 1013.80,  -126.9,   0,  GPS,  170.8, 117.70, 113.90, 121.700, 132.900,       ,       ,       ,      ,       ,       ,   12.2,       ,      ,       ,      ,      ,  -0.4,     3D, 3704,      ,       ,      ,       
2020-10-26, 17:49:57,  -06:00,       ,   34.4288788, -119.8344650,     5.0, 30.06,    -9.7,  19.2,   0.00,   0.00,    0.00,   0.54,   0.40,  -0.01,  -0.01, 180.6, 347.8,  28.1,  28.1,   3.7,   0.3,  35.00,  35.00,     3.07,  135.46,   59.59,  14.13, 1091.8,  150.79,  178.11,  174.83,  199.57,  161.60,  193.78, 1033.71, 1034.14, 1011.56, 1045.16, 1021.41, 1016.13,  -126.8,   0,  GPS,  170.8, 117.70, 113.90, 121.700, 132.900,       ,       ,       ,      ,       ,       ,   12.2,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,      ,       
2020-10-26, 17:49:58,  -06:00,       ,   34.4288788, -119.8344650,     5.0, 30.06,    -9.6,  19.2,   0.00,   0.00,    0.00,   0.53,   0.40,   0.00,   0.01, 180.5, 347.8,  28.1,  28.1,   3.6,   0.3,  35.00,  35.00,     3.16,  135.45,   59.64,  14.10, 1095.8,  151.23,  178.54,  175.22,  199.98,  161.98,  194.20, 1035.76, 1036.98, 1014.89, 1052.18, 1024.91, 1019.22,  -126.8,   0,  GPS,  170.8, 117.70, 113.90, 121.700, 132.900,       ,       ,       ,      ,       ,       ,   12.2,       ,      ,       ,      ,      ,   0.4,     3D, 3704,      ,       ,      ,       
2020-10-26, 17:49:59,  -06:00,       ,   34.4288750, -119.8344650,     5.0, 30.06,    -9.5,  19.2,   0.00,   0.00,   -4.80,   0.57,   0.42,  -0.02,   0.03, 180.5, 347.8,  28.1,  28.1,   3.5,   0.3,  35.00,  35.00,     3.08,  135.44,   59.78,  14.11, 1095.0,  151.67,  178.92,  175.60,  200.38,  162.38,  194.63, 1039.02, 1040.01, 1017.44, 1053.86, 1027.55, 1022.22,  -126.7,   0,  GPS,  170.8, 117.70, 113.90, 121.700, 132.900,       ,       ,       ,      ,       ,       ,   12.2,       ,      ,       ,      ,      ,   2.0,     3D, 3704,      ,       ,      ,       
2020-10-26, 17:50:00,  -06:00,       ,   34.4288750, -119.8344650,     5.0, 30.06,    -9.5,  19.2,   0.00,   0.00,   -4.00,   0.56,   0.38,  -0.00,  -0.01, 180.6, 347.8,  28.1,  28.1,   3.4,   0.3,  35.00,  35.00,     3.09,  135.43,   59.70,  14.11, 1096.7,  152.13,  179.39,  175.98,  200.74,  162.80,  195.09, 1041.49, 1042.22, 1020.34, 1054.49, 1029.82, 1024.81,  -126.7,   0,  GPS,  170.8, 117.70, 113.90, 121.700, 132.900,       ,       ,       ,      ,       ,       ,   12.2,       ,      ,       ,      ,      ,  -0.4,     3D, 3704,      ,       ,      ,       
2020-10-26, 17:50:01,  -06:00,       ,   34.4288750, -119.8344650,     5.0, 30.06,    -9.4,  19.2,   0.00,   0.00,   -2.97,   0.55,   0.38,  -0.02,   0.03, 180.5, 347.8,  28.2,  28.1,   3.4,   0.3,  35.00,  35.00,     3.11,  135.42,   59.77,  14.11, 1096.7,  152.56,  179.82,  176.38,  201.18,  163.22,  195.54, 1043.24, 1044.33, 1024.93, 1053.74, 1032.71, 1025.29,  -126.6,   0,  GPS,  170.8, 117.70, 113.90, 121.700, 132.900,       ,       ,       ,      ,       ,       ,   12.2,       ,      ,       ,      ,      ,   1.4,     3D, 3704,      ,       ,      ,       
2020-10-26, 17:50:02,  -06:00,       ,   34.4288750, -119.8344650,     5.0, 30.06,    -9.3,  19.5,   0.00,   0.00,   -0.12,   0.51,   0.37,   0.01,  -0.01, 180.5, 347.8,  28.2,  28.1,   3.4,   0.3,  35.00,  35.00,     3.14,  135.40,   59.84,  14.12, 1099.7,  153.05,  180.28,  176.79,  201.59,  163.65,  196.00, 1044.56, 1046.72, 1028.23, 1054.59, 1034.93, 1027.10,  -126.5,   0,  GPS,  170.8, 117.70, 113.90, 121.700, 132.900,       ,       ,       ,      ,       ,       ,   12.2,       ,      ,       ,      ,      ,   1.8,     3D, 3704,      ,       ,      ,       
