#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2020-11-24, 20:55:39,  -08:00,       ,   37.4542007, -122.1144638,  -117.5, 29.99,    10.8,   5.5,   0.00,   0.00,    2.31,   3.12,   0.83,  -0.01,  -0.02,  73.2, 346.8,  28.2,  28.2,   6.3,   0.3,  35.00,  28.41,     5.51,   56.25,   70.09,  16.51, 1316.6,   54.14,   54.47,   54.18,   56.97,   54.99,   57.56,  976.87,  944.10,  930.80,  925.12,  968.35,  965.91,   -97.4,   0,  GPS,  115.4, 117.70, 113.90, 125.000, 118.600,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,   1.8,     3D, 3704,      ,       ,      ,       
2020-11-24, 20:55:40,  -08:00,       ,   37.4542007, -122.1144638,  -117.5, 29.99,    10.8,   5.8,   0.00,   0.00,    1.99,   3.16,   0.77,  -0.02,   0.03,  73.2, 346.8,  28.2,  28.2,   6.3,   0.3,  35.00,  28.41,     5.51,   56.25,   70.12,  16.50, 1316.4,   54.22,   54.57,   54.24,   57.09,   55.08,   57.71,  979.10,  946.84,  933.54,  927.66,  970.82,  968.18,   -97.4,   0,  GPS,  115.4, 117.70, 113.90, 125.000, 118.600,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,   1.8,     3D, 3704,      ,       ,      ,       
2020-11-24, 20:55:41,  -08:00,       ,   37.4542007, -122.1144638,  -118.5, 29.99,     9.7,   5.8,   0.00,   0.00,   -1.15,   3.13,   0.81,  -0.01,  -0.05,  73.2, 346.8,  28.2,  28.2,   6.0,   0.3,  35.00,  28.42,     5.45,   56.28,   70.09,  16.51, 1316.8,   54.63,   55.03,   54.71,   57.75,   55.55,   58.43,  989.36,  958.92,  946.55,  940.24,  982.85,  978.08,   -98.4,   0,  GPS,  115.4, 117.70, 113.90, 125.000, 118.600,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,   1.1,     3D, 3704,      ,       ,      ,       
2020-11-24, 20:55:42,  -08:00,       ,   37.4542007, -122.1144638,  -118.5, 29.99,     8.6,   5.8,   0.00,   0.00,  -17.22,   3.18,   0.82,  -0.02,  -0.01,  73.2, 346.8,  28.2,  28.2,   5.9,   0.3,  35.00,  28.43,     5.42,   56.30,   70.02,  16.36, 1314.2,   55.05,   55.61,   55.13,   58.43,   56.08,   59.24,  999.38,  969.43,  957.99,  953.18,  993.01,  986.64,   -99.6,   0,  GPS,  115.4, 117.70, 113.90, 125.000, 118.600,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,  -2.4,     3D, 3704,      ,       ,      ,       
2020-11-24, 20:55:43,  -08:00,       ,   37.4542007, -122.1144638,  -119.5, 29.99,     7.7,   5.8,   0.00,   0.00,  -26.35,   3.28,   0.82,  -0.00,   0.02,  73.2, 346.8,  28.2,  28.2,   5.7,   0.3,  35.00,  28.42,     4.94,   56.32,   69.11,  15.43, 1244.9,   55.50,   56.09,   55.60,   59.14,   56.62,   59.94, 1007.94,  977.99,  967.25,  961.32, 1001.66,  995.04,  -100.5,   0,  GPS,  115.4, 117.70, 113.90, 125.000, 118.600,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,   2.0,     3D, 3704,      ,       ,      ,       
2020-11-24, 20:55:44,  -08:00,       ,   37.4542046, -122.1144638,  -121.5, 29.99,     6.6,   6.0,   0.00,   0.00,  -49.21,   3.35,   0.85,  -0.00,   0.00,  73.3, 346.8,  28.2,  28.2,   5.5,   0.3,  35.00,  28.41,     3.99,   56.35,   67.20,  14.65, 1105.5,   55.99,   56.62,   56.09,   59.89,   57.16,   60.72, 1014.80,  982.56,  973.00,  964.72, 1008.57,  999.42,  -101.6,   0,  GPS,  115.4, 117.70, 113.90, 125.000, 118.600,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,   0.3,     3D, 3704,      ,       ,      ,       
2020-11-24, 20:55:45,  -08:00,       ,   37.4542046, -122.1144638,  -123.5, 29.99,     5.5,   6.0,   0.00,   0.00,  -76.96,   3.41,   0.80,  -0.01,   0.01,  73.1, 346.8,  28.2,  28.2,   5.4,   0.3,  35.00,  28.49,     3.60,   56.37,   65.29,  14.74,  993.5,   56.47,   57.22,   56.62,   60.63,   57.77,   61.52, 1014.85,  983.35,  973.22,  963.95, 1009.93, 1000.96,  -102.7,   0,  GPS,  115.4, 117.70, 113.90, 125.000, 118.600,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,  -3.5,     3D, 3704,      ,       ,      ,       
2020-11-24, 20:55:46,  -08:00,       ,   37.4542046, -122.1144638,  -123.5, 29.99,     4.5,   6.0,   0.00,   0.00,  -74.01,   3.42,   0.83,  -0.01,   0.02,  73.1, 346.8,  28.2,  28.2,   5.2,   0.3,  35.00,  28.61,     3.52,   56.40,   64.29,  14.76,  942.6,   57.01,   57.82,   57.15,   61.42,   58.37,   62.35, 1012.50,  978.76,  967.26,  960.26, 1006.31,  998.65,  -103.6,   0,  GPS,  115.4, 117.70, 113.90, 125.000, 118.600,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,  -2.4,     3D, 3704,      ,       ,      ,       
2020-11-24, 20:55:47,  -08:00,       ,   37.4542046, -122.1144638,  -123.5, 29.99,     4.0,   6.0,   0.00,   0.00,  -55.45,   3.42,   0.85,  -0.01,   0.02,  73.2, 346.8,  28.2,  28.2,   5.1,   0.3,  35.00,  28.69,     3.31,   56.42,   63.53,  14.95,  910.6,   57.52,   58.46,   57.70,   62.16,   58.94,   63.13, 1010.27,  971.70,  961.31,  952.22,  998.25,  993.58,  -104.2,   0,  GPS,  115.4, 117.70, 113.90, 125.000, 118.600,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,   1.7,     3D, 3704,      ,       ,      ,       
2020-11-24, 20:55:48,  -08:00,       ,   37.4542046, -122.1144638,  -124.5, 29.99,     3.5,   6.2,   0.00,   0.00,  -39.27,   3.39,   0.83,  -0.01,  -0.02,  73.2, 346.8,  28.2,  28.2,   4.9,   0.3,  35.00,  28.73,     3.29,   56.45,   63.41,  14.96,  906.3,   58.10,   59.10,   58.27,   62.90,   59.55,   63.91, 1005.93,  965.39,  956.87,  943.95,  991.05,  986.29,  -104.7,   0,  GPS,  115.4, 117.70, 113.90, 125.000, 118.600,       ,       ,       ,      ,       ,       ,   13.2,       ,      ,       ,      ,      ,  -0.5,     3D, 3704,      ,       ,      ,       
